Class,Weapon,Attachment,Attachment Type,Unlock
Assault,AK 12,Iron Sights,Optic,Default
Assault,AK 12,Kobra (RDS),Optic,Default
Assault,AK 12,Laser Sight,Accessory,Default
Assault,AK 12,UGL Rail,Underbarrel,Default
Assault,AK 12,ERGO Grip,Underbarrel,Default
Assault,AK 12,Muzzle Brake,Barrel,10 Kills
Assault,AK 12,PSO-1 (4X),Optic,20 Kills
Assault,AK 12,Canted Iron Sights,Accessory,30 Kills
Assault,AK 12,Angled Grip,Underbarrel,40 Kills
Assault,AK 12,Heavy Barrel,Barrel,50 Kills
Assault,AK 12,PK-A (3.4X),Optic,60 Kills
Assault,AK 12,Flash Light,Accessory,70 Kills
Assault,AK 12,Bipod,Underbarrel,80 Kills
Assault,AK 12,Compensator,Barrel,90 Kills
Assault,AK 12,PKA-S (1X),Optic,100 Kills
Assault,AK 12,Magnifier (2X),Accessory,110 Kills
Assault,AK 12,Stubby Grip,Underbarrel,120 Kills
Assault,AK 12,PBS-4 Suppressor,Barrel,130 Kills
Assault,AK 12,LS06 Suppressor,Barrel,BattlePack
Assault,AK 12,R2 Suppressor,Barrel,BattlePack
Assault,AK 12,ACOG (4X),Optic,BattlePack
Assault,AK 12,FLIR (IR 2X),Optic,BattlePack
Assault,AK 12,PRISMA (3.4X),Optic,BattlePack
Assault,AK 12,JGM-4 (4X),Optic,BattlePack
Assault,AK 12,Coyote (RDS),Optic,BattlePack
Assault,AK 12,Holo (1X),Optic,BattlePack
Assault,AK 12,Flash Hider,Barrel,BattlePack
Assault,AK 12,Folding Grip,Underbarrel,BattlePack
Assault,AK 12,Potato Grip,Underbarrel,BattlePack
Assault,AK 12,Vertical Grip,Underbarrel,BattlePack
Assault,AK 12,Green Laser Sight,Optic,BattlePack
Assault,AK 12,IRNV (IR 1X),Optic,BattlePack
Assault,AK 12,M145 (3.4X),Optic,BattlePack
Assault,AK 12,Laser/Light Combo,Accessory,BattlePack
Assault,AK 12,Reflex (RDS),Optic,BattlePack
Assault,AK 12,Suppressor,Barrel,BattlePack
Assault,AK 12,Tactical Light,Accessory,BattlePack
Assault,AK 12,Tri Beam Laser,Accessory,BattlePack
Assault,AK 12,HD-33 (1X),Optic,BattlePack
Assault,SCAR - H,Iron Sights,Optic,Default
Assault,SCAR - H,Underslung Rail,Underbarrel,Default
Assault,SCAR - H,Reflex (RDS),Optic,10 Kills
Assault,SCAR - H,Laser Sight,Accessory,20 Kills
Assault,SCAR - H,ERGO Grip,Underbarrel,30 Kills
Assault,SCAR - H,Muzzle Brake,Barrel,40 Kills
Assault,SCAR - H,ACOG (4X),Optic,50 Kills
Assault,SCAR - H,Canted Iron Sights,Accessory,60 Kills
Assault,SCAR - H,Angled Grip,Underbarrel,70 Kills
Assault,SCAR - H,Heavy Barrel,Barrel,80 Kills
Assault,SCAR - H,M145 (3.4X),Optic,70 Kills
Assault,SCAR - H,Flash Light,Accessory,100 Kills
Assault,SCAR - H,Bipod,Underbarrel,110 Kills
Assault,SCAR - H,Compensator,Barrel,120 Kills
Assault,SCAR - H,Holo (1X),Optic,130 Kills
Assault,SCAR - H,Magnifier (2X),Accessory,140 Kills
Assault,SCAR - H,Stubby Grip,Underbarrel,150 Kills
Assault,SCAR - H,Suppressor,Barrel,160 Kills
Assault,SCAR - H,FLIR (IR 2X),Optic,BattlePack
Assault,SCAR - H,PRISMA (3.4X),Optic,BattlePack
